category,orders,gmv,aov,avg_review_score,negative_reviews,reviews,avg_delivery_days,late_orders,canceled_orders,negative_review_rate,late_delivery_rate,cancellation_rate,risk_score
home_appliances,764,94990.43,123.20418936446173,4.166449652777778,93,768,10.86737400530504,34,2,0.12109375,0.04450261780104712,0.002617801047120419,0.16821416884816753
home_appliances_2,234,123917.92,520.6635294117647,4.139830508474576,30,236,13.424242424242424,14,3,0.1271186440677966,0.05982905982905983,0.01282051282051282,0.19976821671736927
home_comfort_2,24,1170.58,39.01933333333333,3.6296296296296298,7,27,14.066666666666666,4,0,0.25925925925925924,0.16666666666666666,0.0,0.42592592592592593
home_confort,397,67073.27,154.54670506912444,3.8333333333333335,87,432,13.039627039627039,40,0,0.2013888888888889,0.10075566750629723,0.0,0.3021445563951861
home_construction,490,96920.36,160.46417218543047,3.9382303839732886,107,599,12.758389261744966,35,1,0.17863105175292154,0.07142857142857142,0.0020408163265306124,0.25210043950802363
housewares,5884,772397.77,110.91294801838025,4.054784619832321,1079,6918,10.456512141280353,340,49,0.15596993350679386,0.05778382053025153,0.00832766825288919,0.22208142228993458
industry_commerce_and_business,235,47554.29,177.44138059701493,4.09811320754717,36,265,10.31060606060606,17,0,0.13584905660377358,0.07234042553191489,0.0,0.20818948213568847
kitchen_dining_laundry_garden_furniture,248,58327.8,207.57224199288257,3.967741935483871,43,279,11.452554744525548,12,2,0.15412186379928317,0.04838709677419355,0.008064516129032258,0.21057347670250898
la_cuisine,13,2388.54,170.60999999999999,4.0,3,13,7.071428571428571,0,0,0.23076923076923078,0.0,0.0,0.23076923076923078
luggage_accessories,1034,170875.21,156.47913003663004,4.315257352941177,105,1088,10.19405756731662,45,4,0.09650735294117647,0.043520309477756286,0.0038684719535783366,0.14389613437251111
market_place,280,33834.53,108.79270096463023,4.019417475728155,44,309,11.675409836065574,11,1,0.1423948220064725,0.039285714285714285,0.0035714285714285713,0.18525196486361534
music,38,6724.860000000001,176.97000000000003,4.2105263157894735,4,38,11.157894736842104,2,0,0.10526315789473684,0.05263157894736842,0.0,0.15789473684210525
musical_instruments,628,210137.37,309.02554411764703,4.1513353115727005,95,674,12.502304147465438,48,11,0.14094955489614244,0.07643312101910828,0.01751592356687898,0.2348985994821297
office_furniture,1273,342532.65,202.56218214074514,3.48896839594514,438,1677,20.386690647482013,133,1,0.26118067978533094,0.1044776119402985,0.0007855459544383347,0.36644383768006783
party_supplies,39,5313.150000000001,123.56162790697675,3.7674418604651163,10,43,8.904761904761905,0,0,0.23255813953488372,0.0,0.0,0.23255813953488372
perfumery,3162,453338.71,132.59394852295995,4.166079295154185,493,3405,11.278575703171754,217,15,0.1447870778267254,0.06862745098039216,0.004743833017077799,0.21815836182419535
pet_shop,1710,253876.65,130.3937596302003,4.184305627258647,251,1937,10.763513513513514,95,5,0.12958182756840475,0.05555555555555555,0.0029239766081871343,0.18806135973214744
security_and_services,2,324.51,162.255,2.5,1,2,15.0,0,0,0.5,0.0,0.0,0.5
signaling_and_security,140,28017.05,140.7891959798995,4.086294416243655,23,197,9.969543147208121,8,0,0.116751269035533,0.05714285714285714,0.0,0.17389412617839015
small_appliances,630,206668.83,304.3723564064801,4.148588410104012,97,673,10.325227963525835,30,8,0.14413075780089152,0.047619047619047616,0.012698412698412698,0.20444821811835184
small_appliances_home_oven_and_coffee,75,50193.57,660.4417105263158,4.302631578947368,8,76,9.397260273972602,4,0,0.10526315789473684,0.05333333333333334,0.0,0.15859649122807018
sports_leisure,7720,1156656.48,133.8567850943178,4.10703880666589,1252,8581,11.692563159767525,532,51,0.14590374082274793,0.0689119170984456,0.006606217616580311,0.22142187553777384
stationery,2311,277741.71,110.34632896305126,4.195478191276511,325,2499,12.282643957826439,167,12,0.13005202080832334,0.07226308957161402,0.005192557334487235,0.2075076677144246
tablets_printing_image,79,8754.61,105.47722891566266,4.1234567901234565,11,81,12.578313253012048,5,0,0.13580246913580246,0.06329113924050633,0.0,0.1990936083763088
telephony,4199,394883.32,86.88301870187018,3.9459219858156027,761,4512,12.383747178329571,308,18,0.1686613475177305,0.07335079780900214,0.0042867349368897354,0.24629888026362237
toys,3886,561372.55,136.35476074811757,4.159564046044575,550,4083,11.233498759305212,256,34,0.13470487386725447,0.06587750900669069,0.008749356664951106,0.20933173953889625
watches_gifts,5624,1305541.61,217.91714404940745,4.018855218855219,965,5940,12.19173638381424,422,21,0.16245791245791247,0.07503556187766713,0.0037339971550497866,0.2412274714906294
